,k,Q_D,P_D,E_TES,Q_in_TES,Q_out_TES,delta_in_TES,delta_out_TES,Q_in_B1,Q_in_B2,Q_out_B1,Q_out_B2,delta_B1,delta_B2,Q_in_CHP1,Q_in_CHP2,Q_out_CHP1,Q_out_CHP2,P_out_CHP1,P_out_CHP2,delta_CHP1,delta_CHP2,P_grid
42,43,531.5059581,714.0545666,420.5491234486497,0.0,531.5059580999989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,714.0545666
43,44,402.1626028,585.2046364,482.7363076543137,67.83739720000128,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,205.0802941703946
44,45,402.1626028,585.2046364,544.6133319848034,67.83739720000128,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,205.0802941703946
45,46,398.0220389,585.2046364,610.1054616039529,71.97796110000135,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,205.0802941703946
46,47,370.9907276,396.6608949,700.8866010998979,99.00927240000001,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,16.5365526703946
47,48,377.9593531,396.6608949,784.6112964845606,92.04064690000004,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,0.0,16.5365526703946
48,49,381.4436671,396.6608949,864.6165763798026,88.5563329,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,16.5365526703946
49,50,386.6701356,396.6608949,939.2700754022886,83.32986440000026,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
50,51,384.9279786,396.6608949,530.4093826551592,0.0,384.9279786000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
51,52,384.9279786,396.6608949,608.3806654248551,85.07202139999993,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
