k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
77,365.764259,396.6608949,16.536905446262654,104.2357410000048,0.0,16.536552670389597,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.130977130988,0.0,470.0,0.0,380.1243422296104
78,381.4436671,396.6608949,115.23133460573123,88.55633289999997,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
79,410.6426673,587.1223702,198.5751984547448,59.35733269999997,0.0,206.99802797039456,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
80,541.2815198,781.293796,253.8334945513535,0.0,71.2815197999999,401.1694537703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
81,510.2371802,781.293796,177.72177729053143,0.0,40.237180199999955,401.1694537703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
82,470.167779,791.3176496,134.58626185540632,0.0,0.16777899999897272,411.19330737039354,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309794,0.0,470.0,0.0,380.12434222960644,0.0
83,453.1732935,791.3176496,133.73877763127263,16.826706500004896,0.0,411.19330737038945,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309882,0.0,470.0,0.0,380.12434222961053,0.0
84,456.6195372,791.3176496,149.01718048904746,13.380462800004928,0.0,411.1933073703894,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309883,0.0,470.0,0.0,380.1243422296106
85,462.0876488,791.3176496,160.95361075593675,7.912351200003744,0.0,411.1933073703907,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309855,0.0,470.0,0.0,380.1243422296093
86,460.9349327,791.3176496,167.64875551314566,9.065067300004106,0.0,411.19330737039024,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309865,0.0,470.0,0.0,380.12434222960974
87,488.5970503,779.3760622,175.402853246149,0.0,18.59705029999992,399.25171997039456,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
88,503.6051387,779.3760622,155.00104099915728,0.0,33.60513869999994,399.25171997039456,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
