k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
75,353.569165,396.6608949,1000.0,1000.0,897.7500000000001,52.60286255450882,0.0,0.0,0.0,0.0,0.0,1154.5571555217825,0.0,455.81916499999977,0.0,344.0580323454912
76,358.7956335,396.6608949,1000.0,1000.0,897.7500000000001,48.657858468895824,0.0,0.0,0.0,0.0,0.0,1167.7954242654503,0.0,461.0456334999998,0.0,348.0030364311042
77,365.764259,396.6608949,1000.0,1000.0,897.7500000000001,43.39785239240132,0.0,0.0,0.0,0.0,0.0,1185.446451367781,0.0,468.0142589999999,0.0,353.2630425075987
78,381.4436671,396.6608949,1000.0,1000.0,897.7500000000001,31.562838173049727,0.0,0.0,0.0,0.0,1225.1612641843972,0.0,483.69366709999997,0.0,365.0980567269503,0.0
79,410.6426673,587.1223702,1000.0,1000.0,897.7500000000001,199.98454128561298,0.0,0.0,0.0,0.0,0.0,1299.1202312563323,0.0,512.8926673,0.0,387.137828914387
80,541.2815198,781.293796,1000.0,1000.0,897.7500000000001,295.5481199604866,0.0,0.0,0.0,0.0,0.0,1630.0190471124613,0.0,643.5315197999997,0.0,485.74567603951346
81,510.2371802,781.293796,1000.0,1000.0,897.7500000000001,318.98077751063846,0.0,0.0,0.0,0.0,0.0,1551.3859680851062,0.0,612.4871801999999,0.0,462.3130184893616
82,470.167779,791.3176496,1000.0,1000.0,897.7500000000001,359.2495185412362,0.0,0.0,0.0,0.0,0.0,1449.8930572441736,0.0,572.4177789999998,0.0,432.06813105876375
83,453.1732935,791.3176496,1000.0,1000.0,897.7500000000001,372.07716970385013,0.0,0.0,0.0,0.0,0.0,1406.8472479736572,0.0,555.4232934999999,0.0,419.24047989614985
84,456.6195372,791.3176496,1000.0,1000.0,897.7500000000001,369.47590166281674,0.0,0.0,0.0,0.0,1415.5763353596756,0.0,558.8695371999999,0.0,421.84174793718324,0.0
85,462.0876488,791.3176496,1000.0,1000.0,897.7500000000001,365.34850232948344,0.0,0.0,0.0,0.0,1429.4266686930087,0.0,564.3376487999998,0.0,425.96914727051654,0.0
86,460.9349327,791.3176496,1000.0,1000.0,897.7500000000001,366.2185869237083,0.0,0.0,0.0,0.0,1426.5069217325226,0.0,563.1849326999999,0.0,425.0990626762917,0.0
87,488.5970503,779.3760622,1000.0,1000.0,897.7500000000001,333.3972856311046,0.0,0.0,0.0,0.0,1496.5730757345486,0.0,590.8470502999998,0.0,445.9787765688954,0.0
88,503.6051387,779.3760622,1000.0,1000.0,897.7500000000001,322.06899195531923,0.0,0.0,0.0,0.0,1534.587484042553,0.0,605.8551386999999,0.0,457.30707024468074,0.0
