k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
87,488.5970503,779.3760622,71.08829132205263,0.0,18.597050300000017,399.2517199703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.130977130977,0.0,470.0,0.0,380.12434222960536,0.0
88,503.6051387,779.3760622,51.20675271077276,0.0,33.6051387,399.25171997039456,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
89,516.1118787,779.3760622,15.665815124248018,59.88812129999998,0.0,399.25171997039456,1.0,0.0,0.0,1.0,114.6125,0.0,106.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
90,536.2694503,714.0545666,72.33939925338619,0.0,66.26945030000003,333.9302243703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
91,404.2328834,585.2046364,2.3953918868935857,65.76711660000001,0.0,205.0802941703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
92,418.7248531,585.2046364,64.70626869117584,51.27514689999998,0.0,205.0802941703946,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
93,414.5842893,585.2046364,112.97335862149869,55.41571069999998,0.0,205.0802941703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
94,372.7328846,396.6608949,164.92343357672542,0.0,0.0,120.58815342114542,-0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,753.5136552090551,0.0,372.7328845999999,0.0,276.0727414788546,0.0
95,367.506416,396.6608949,164.10087452014724,0.0,155.506416,396.6608949,1.0,1.0,-0.0,-0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
96,372.7328846,396.6608949,0.0,91.45376484423703,0.0,22.755390646260082,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,963.7660708383717,0.0,464.186649444237,0.0,373.90550425373993
97,365.764259,396.6608949,86.66423546295248,104.23574100000008,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309773,0.0,470.0,0.0,380.1243422296054
98,377.9593531,396.6608949,185.00880193502948,92.04064690000001,0.0,16.5365526703946,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
99,360.5377905,396.6608949,271.30644857706034,0.0,148.53779050000003,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
100,362.279945,396.6608949,113.98797132662372,107.72005499999999,0.0,16.5365526703946,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
101,346.6005395,396.6608949,215.4980969266503,0.0,134.60053950000002,396.6608949,1.0,1.0,0.0,0.0,114.61249999999997,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
102,353.569165,396.6608949,73.09213959325206,116.430835,0.0,16.5365526703946,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
103,352.4361953,396.6608949,183.0608213395951,117.56380469999989,0.0,16.53655267039528,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309755,0.0,470.0,0.0,380.12434222960474,0.0
