k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
54,383.1858216,396.6608949,20.76995130040176,86.8141784,0.0,16.5365526703946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
55,421.0031304,587.1223702,102.93398975276008,48.996869600000025,0.0,206.99802797039456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
56,549.5079332,781.293796,148.85145659553996,26.49206679999999,0.0,401.1694537703946,1.0,0.0,1.0,0.0,114.6125,0.0,106.00000000000001,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
57,524.1485906,781.293796,173.21370639340168,0.0,54.148590600000034,401.1694537703946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
58,508.9603391,791.3176496,115.4935421014042,0.0,38.9603391,411.19330737039456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
59,495.7810111,791.3176496,74.00898893676731,0.0,25.7810111,411.19330737039456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
60,476.4819936,791.3176496,46.56969297610859,0.0,6.48199360000001,411.19330737039456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
61,482.171696,791.3176496,39.5313039891051,0.0,12.171695999999997,411.19330737039456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
62,495.1631036,791.3176496,26.553806669951573,0.0,25.1631036,411.19330737039456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
63,515.3563626,779.3760622,0.0,60.554729495128356,0.0,399.34682929674034,1.0,0.0,1.0,0.0,114.6125,0.0,106.00000000000001,0.0,976.9265776532778,0.0,469.91109209512837,0.0,380.02923290325964,0.0
64,518.6132248,779.3760622,57.38341493430488,57.3867752,0.0,399.25171997039456,0.0,1.0,1.0,0.0,0.0,114.6125,0.0,106.00000000000001,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
65,518.6132248,779.3760622,111.478583679549,0.0,48.61322480000001,399.25171997039456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
66,526.7424659,714.0545666,59.878482934232274,0.0,56.74246589999996,333.9302243703946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
67,391.8111945,585.2046364,0.0,58.811882533308655,0.0,225.80877824249671,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,932.5833866829634,0.0,450.6230770333087,0.0,359.3958581575033
68,389.7409138,585.2046364,55.73184269195611,80.25908620000001,0.0,205.0802941703946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
69,389.7409138,585.2046364,131.50971282267255,80.25908620000001,0.0,205.0802941703946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
70,357.0534765,396.6608949,206.90963924937788,0.0,145.0534765,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.00000000000001,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
71,357.0534765,396.6608949,53.57088738838344,112.94652350000001,0.0,16.5365526703946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
72,360.5377905,396.6608949,160.3350973262522,0.0,148.53779050000003,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.00000000000001,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
73,357.0534765,396.6608949,3.5700919991951374,112.94652350000001,0.0,16.5365526703946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
74,364.022102,396.6608949,110.58368194444988,105.97789799999998,0.0,16.5365526703946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
75,353.569165,396.6608949,210.45986809405252,0.0,141.569165,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.00000000000001,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
76,358.7956335,396.6608949,60.76195173080899,111.20436649999999,0.0,16.5365526703946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
77,365.764259,396.6608949,165.8393776710914,0.0,153.76425899999998,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.00000000000001,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
78,381.4436671,396.6608949,3.559104811803031,88.55633289999997,0.0,16.5365526703946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
79,410.6426673,587.1223702,87.45989876461407,59.35733269999997,0.0,206.99802797039456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
80,541.2815198,781.293796,143.27241776226407,0.0,71.28151979999996,401.1694537703946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
81,510.2371802,781.293796,67.71193555972273,0.0,40.23718020000001,401.1694537703946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
82,470.167779,791.3176496,25.125005403732494,0.0,0.1677789999999959,411.19330737039456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
83,453.1732935,791.3176496,24.823525231543535,16.8267065,0.0,411.19330737039456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
84,456.6195372,791.3176496,40.64519165254201,13.380462799999975,0.0,411.19330737039456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
85,462.0876488,791.3176496,53.12218687250017,7.912351199999989,0.0,411.19330737039456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
86,460.9349327,791.3176496,60.35521194665632,9.06506730000001,0.0,411.19330737039456,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
87,488.5970503,779.3760622,68.64450930915449,0.0,18.597050299999978,399.25171997039456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
88,503.6051387,779.3760622,48.77515911151255,0.0,33.6051387,399.25171997039456,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
89,516.1118787,779.3760622,13.246349148659059,59.88812129999998,0.0,399.25171997039456,0.0,1.0,1.0,0.0,0.0,114.6125,0.0,106.00000000000001,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
90,536.2694503,714.0545666,69.93200041469308,0.0,66.26945030000002,333.9302243703946,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
91,404.2328834,585.2046364,0.0,1.254807707784181,0.0,274.092405619954,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,828.8170306738265,0.0,405.48769110778414,0.0,311.11223078004605,0.0
92,418.7248531,585.2046364,1.1890921148336808,51.27514689999998,0.0,205.0802941703946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
93,414.5842893,585.2046364,49.772975284953105,55.41571069999998,0.0,205.0802941703946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
94,372.7328846,396.6608949,102.03826346710127,97.26711540000002,0.0,16.5365526703946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
