k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
80,541.2815198,781.293796,253.8334945513533,0.0,71.28151979999774,401.1694537703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
81,510.2371802,781.293796,177.72177729053354,0.0,40.23718019999521,401.1694537703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
82,470.167779,791.3176496,134.5862618554134,0.0,0.16777899999965484,411.19330737039456,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
83,453.1732935,791.3176496,133.73877763127896,16.826706500003986,0.0,411.19330737039456,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
84,456.6195372,791.3176496,149.01718048905292,13.380462800004018,0.0,411.19330737039456,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
85,462.0876488,791.3176496,160.95361075594133,7.912351200004995,0.0,411.19330737039456,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
86,460.9349327,791.3176496,167.6487555131514,9.065067300003879,0.0,411.19330737039456,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
87,488.5970503,779.3760622,175.40285324615448,0.0,18.597050299995544,399.25171997039456,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
88,503.6051387,779.3760622,155.00104099916732,0.0,33.605138699994995,399.25171997039456,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
89,516.1118787,779.3760622,118.94250017166873,0.0,46.11187869999827,399.25171997039456,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
90,536.2694503,714.0545666,69.93174234581716,0.0,66.26945029999365,333.9302243703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
91,404.2328834,585.2046364,0.0,30.061046152427792,0.0,243.2769012282921,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,895.0426390836705,0.0,434.29392955242776,0.0,341.9277351717079,0.0
92,418.7248531,585.2046364,28.48674916542515,51.27514690000473,0.0,205.0802941703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
93,414.5842893,585.2046364,76.93452471743953,55.4157107000041,0.0,205.0802941703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
94,372.7328846,396.6608949,129.0643652387938,97.26711540000497,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
95,367.506416,396.6608949,220.5938287514894,102.49358400000543,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
96,372.7328846,396.6608949,316.61950173960213,97.26711540000412,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
97,365.764259,396.6608949,407.21344023143087,0.0,365.76425900000027,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,377.9593531,396.6608949,21.12978764155622,92.0406469000034,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
99,360.5377905,396.6608949,108.24487048265036,109.4622095,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
100,362.279945,396.6608949,211.43461865716793,0.0,0.0,131.77019674028872,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,729.4823230373229,0.0,362.27994499999994,0.0,264.8906981597113
101,346.6005395,396.6608949,210.37998277930598,123.39946050000526,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
102,353.569165,396.6608949,326.2676381788228,116.4308350000054,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
103,352.4361953,396.6608949,434.97356737064194,0.0,352.4361953,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,348.135434,396.6608949,62.74591415159716,121.86456600000628,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
105,312.5361524,396.6608949,177.915456210395,157.4638476000066,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
106,300.9302561,396.6608949,326.24547981601177,169.06974390000568,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
