k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
36,489.3713909,791.3176496,0.0,0.0,0.0,503.8643546261668,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,777.9716056507057,383.3713909,287.4532949738332,0.0,0.0,0.0,0.0,0.0
37,482.3716511,791.3176496,0.0,0.0,0.0,511.352333765196,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,761.8791877580878,376.3716511,279.96531583480396,0.0,0.0,0.0,0.0,0.0
38,493.9611443,791.3176496,0.0,0.0,0.0,498.9544610166232,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,788.5234592691593,387.9611443,292.36318858337677,0.0,0.0,0.0,0.0,0.0
39,505.3895853,779.3760622,0.0,0.0,0.0,474.7872866312862,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,814.7974714021715,399.3895853,304.5887755687138,0.0,0.0,0.0,0.0,0.0
40,516.1118787,779.3760622,0.0,0.0,0.0,463.3171017964514,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,839.4480485793487,410.11187870000003,316.05896040354855,0.0,0.0,0.0,0.0,0.0
41,528.6186163,779.3760622,0.0,0.0,0.0,449.93800586975556,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,868.201067074767,422.6186163,329.4380563302444,0.0,0.0,0.0,0.0,0.0
42,531.5059581,714.0545666,0.0,0.0,0.0,381.52777329046853,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,874.8390725109726,425.50595810000004,332.5267933095315,0.0,0.0,0.0,0.0,0.0
43,402.1626028,585.2046364,0.0,0.0,0.0,277.6494223942228,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,821.172645009845,402.1626028,307.5552140057772,0.0,0.0,0.0,0.0,0.0
44,402.1626028,585.2046364,0.0,0.0,0.0,277.6494223942228,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,821.172645009845,402.1626028,307.5552140057772,0.0,0.0,0.0,0.0,0.0
45,398.0220389,585.2046364,0.0,0.0,0.0,282.0787950556205,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,811.6534790845791,398.0220389,303.1258413443795,0.0,0.0,0.0,0.0,0.0
46,370.9907276,396.6608949,0.0,0.0,0.0,122.45182773556962,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,749.5084322608324,370.9907276,274.2090671644304,0.0,0.0,0.0,0.0,0.0
47,377.9593531,396.6608949,0.0,0.0,0.0,114.99713315225006,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,765.5293183062183,377.9593531,281.66376174774996,0.0,0.0,0.0,0.0,0.0
48,381.4436671,396.6608949,0.0,0.0,0.0,111.26978452340143,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,773.5397642026643,381.4436671,285.3911103765986,0.0,0.0,0.0,0.0,0.0
49,386.6701356,396.6608949,0.0,0.0,0.0,105.67876425450618,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,785.5554272998273,386.6701356,290.98213064549384,0.0,0.0,0.0,0.0,0.0
50,384.9279786,396.6608949,0.0,0.0,0.0,107.54243856893049,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,781.5502043516044,384.9279786,289.1184563310695,0.0,0.0,0.0,0.0,0.0
