k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
14,473.1244571,791.3176496,0.0,0.0,0.0,408.66632396621986,0.0,0.0,1.0,0.006647781063829727,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,6.495752806652749,3.1244570999999723,2.5269834041747012
15,481.4872323,779.3760622,0.0,0.0,0.0,389.9611314127857,0.0,0.0,1.0,0.024440919787234075,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,23.881979833679868,11.487232300000016,9.290588557608901
16,486.1668577,779.3760622,0.0,0.0,0.0,386.1763664616028,0.0,0.0,1.0,0.03439756957446804,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,33.61093076923073,16.16685769999998,13.075353508791752
17,488.5970503,779.3760622,0.0,0.0,0.0,384.21088696465335,0.0,0.0,0.03956819212765952,1.0,0.0,1.0,0.0,0.0,38.66330623700619,18.597050299999978,15.040833005741227,0.0,0.0,977.1309771309772,470.0,380.1243422296054
18,498.1615104,714.0545666,0.0,0.0,0.0,311.15389327041123,0.0,0.0,0.059918107234042534,1.0,0.0,1.0,0.0,0.0,58.54783866943867,28.161510399999997,22.776331099983384,0.0,0.0,977.1309771309772,470.0,380.1243422296054
19,371.1083804,585.2046364,0.0,0.0,0.0,285.0613832182039,0.0,0.0,0.7895922987234041,0.0,0.0,1.0,0.0,0.0,771.5350943866944,371.1083804,300.1432531817961,0.0,0.0,0.0,0.0,0.0
20,373.1786634,585.2046364,0.0,0.0,0.0,283.3869896786206,0.0,0.0,0.0,0.7939971561702126,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,775.8392170478171,373.1786634,301.81764672137945
21,375.2489441,585.2046364,0.0,0.0,0.0,281.7125979992203,0.0,0.0,0.0,0.7984020087234042,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.1433349272351,375.2489441,303.49203840077973
22,348.3426941,396.6608949,0.0,0.0,0.0,114.92996412286993,0.0,0.0,0.0,0.7411546682978722,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.2051852390853,348.3426941,281.7309307771301
23,350.084851,396.6608949,0.0,0.0,0.0,113.5209508342034,0.0,0.0,0.7448613851063829,0.0,0.0,1.0,0.0,0.0,727.8271330561331,350.084851,283.1399440657966,0.0,0.0,0.0,0.0,0.0
24,350.084851,396.6608949,0.0,0.0,0.0,113.5209508342034,0.0,0.0,0.0,0.7448613851063829,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,727.8271330561331,350.084851,283.1399440657966
25,353.569165,396.6608949,0.0,0.0,0.0,110.70292409511535,0.0,0.0,0.7522748191489361,0.0,0.0,1.0,0.0,0.0,735.0710291060291,353.569165,285.95797080488467,0.0,0.0,0.0,0.0,0.0
26,355.3113195,396.6608949,0.0,0.0,0.0,109.29391274750924,0.0,0.0,0.0,0.7559815308510638,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.692971933472,355.3113195,287.3669821524908
27,357.0534765,396.6608949,0.0,0.0,0.0,107.88489937796521,0.0,0.0,0.7596882478723403,0.0,0.0,1.0,0.0,0.0,742.3149199584199,357.0534765,288.7759955220348,0.0,0.0,0.0,0.0,0.0
28,362.279945,396.6608949,0.0,0.0,0.0,103.65786129127105,0.0,0.0,0.0,0.7708083936170212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.1807588357589,362.279945,293.00303360872897
29,364.022102,396.6608949,0.0,0.0,0.0,102.24884792172702,0.0,0.0,0.0,0.7745151106382978,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.8027068607068,364.022102,294.412046978273
30,364.022102,396.6608949,0.0,0.0,0.0,102.24884792172702,0.0,0.0,0.0,0.7745151106382978,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,756.8027068607068,364.022102,294.412046978273
31,398.210111,587.1223702,0.0,0.0,0.0,265.0599095339295,0.0,0.0,0.0,0.8472555553191489,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.8796486486486,398.210111,322.0624606660705
32,525.2319391,781.293796,0.0,0.0,0.0,356.4992313864518,0.0,0.0,0.11751476404255312,1.0,0.0,1.0,0.0,0.0,114.82731621621618,55.23193909999998,44.6702223839428,0.0,0.0,977.1309771309772,470.0,380.1243422296054
33,518.7740505,781.293796,0.0,0.0,0.0,361.72221150616895,0.0,0.0,1.0,0.10377457553191496,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,101.4013523908525,48.774050500000044,39.44724226422569
34,513.0255398,791.3176496,0.0,0.0,0.0,376.39531797561006,0.0,0.0,1.0,0.09154370170212775,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,89.4501866943868,43.02553980000005,34.79798939478453
35,505.2914575,791.3176496,0.0,0.0,0.0,382.65045190547636,0.0,0.0,1.0,0.07508820744680846,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,73.37101351351347,35.29145749999998,28.542855464918226
36,489.3713909,791.3176496,0.0,0.0,0.0,395.526206893937,0.0,0.0,1.0,0.04121572531914892,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,40.273161954261944,19.371390899999994,15.667100476457577
37,482.3716511,791.3176496,0.0,0.0,0.0,401.1874228242633,0.0,0.0,1.0,0.02632266191489363,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,25.720688357588376,12.371651100000008,10.005884546131227
38,493.9611443,791.3176496,0.0,0.0,0.0,391.81412818718997,0.0,0.0,1.0,0.05098115808510638,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,49.81526881496882,23.9611443,19.37917918320459
