k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
62,495.1631036,791.3176496,0.0,0.0,0.0,431.49192819238266,0.0,0.0,17.9726815190202,8.943197709719755,6.498853699306325,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
63,515.3563626,779.3760622,0.0,0.0,0.0,404.87627898442634,0.0,0.0,58.55402888693624,29.136456709719766,21.172915507262616,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
64,518.6132248,779.3760622,0.0,0.0,0.0,402.50957843238587,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,65.09917626842801,32.39331890971977,23.539616059303103
65,518.6132248,779.3760622,0.0,0.0,0.0,402.50957843238587,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,65.09917626842801,32.39331890971977,23.539616059303103
66,526.7424659,714.0545666,0.0,0.0,0.0,331.2807161040546,0.0,0.0,81.4360913209531,40.52256000971971,29.446982787634457,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
67,391.8111945,585.2046364,0.0,0.0,0.0,300.4828049639658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,787.402676637912,391.8111945,284.7218314360342
68,389.7409138,585.2046364,0.0,0.0,0.0,301.98723904028896,0.0,0.0,783.242140677085,389.7409138,283.2173973597111,0.0,0.0,0.0,0.0,0.0
69,389.7409138,585.2046364,0.0,0.0,0.0,301.98723904028896,0.0,0.0,783.242140677085,389.7409138,283.2173973597111,0.0,0.0,0.0,0.0,0.0
70,357.0534765,396.6608949,0.0,0.0,0.0,137.1968439062171,0.0,0.0,717.5518899038802,357.0534765,259.4640509937829,0.0,0.0,0.0,0.0,0.0
71,357.0534765,396.6608949,0.0,0.0,0.0,137.1968439062171,0.0,0.0,717.5518899038802,357.0534765,259.4640509937829,0.0,0.0,0.0,0.0,0.0
72,360.5377905,396.6608949,0.0,0.0,0.0,134.66485840579202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.5541353944617,360.5377905,261.996036494208
73,357.0534765,396.6608949,0.0,0.0,0.0,137.1968439062171,0.0,0.0,717.5518899038802,357.0534765,259.4640509937829,0.0,0.0,0.0,0.0,0.0
74,364.022102,396.6608949,0.0,0.0,0.0,132.13287472207003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.5563758609226,364.022102,264.52802017793
75,353.569165,396.6608949,0.0,0.0,0.0,139.7288275899391,0.0,0.0,710.5496494374194,353.569165,256.9320673100609,0.0,0.0,0.0,0.0,0.0
76,358.7956335,396.6608949,0.0,0.0,0.0,135.93085115600456,0.0,0.0,721.0530126491709,358.7956335,260.73004374399545,0.0,0.0,0.0,0.0,0.0
77,365.764259,396.6608949,0.0,0.0,0.0,130.86688197185754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0574986062131,365.764259,265.7940129281425
78,381.4436671,396.6608949,0.0,0.0,0.0,119.47295078068271,0.0,0.0,766.5675934665534,381.4436671,277.1879441193173,0.0,0.0,0.0,0.0,0.0
79,410.6426673,587.1223702,0.0,0.0,0.0,288.716061394461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.2473127685269,410.6426673,298.40630880553897
80,541.2815198,781.293796,0.0,0.0,0.0,387.95468827847213,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,110.65447537261875,55.06161390971971,40.01224001321691
81,510.2371802,781.293796,0.0,0.0,0.0,410.5140264258006,0.0,0.0,48.26627299700674,24.017274309719767,17.452901865888435,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
82,470.167779,791.3176496,0.0,0.0,0.0,449.65556082297144,0.0,0.0,944.8718486104976,470.167779,341.66208877702854,0.0,0.0,0.0,0.0,0.0
83,453.1732935,791.3176496,0.0,0.0,0.0,462.00513404547195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.7189107704734,453.1732935,329.31251555452803
84,456.6195372,791.3176496,0.0,0.0,0.0,459.50081351657263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.6446483497414,456.6195372,331.81683608342735
85,462.0876488,791.3176496,0.0,0.0,0.0,455.5272395832515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.6336291916219,462.0876488,335.79041001674847
86,460.9349327,791.3176496,0.0,0.0,0.0,456.3648967092472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.3170753123946,460.9349327,334.9527528907528
87,488.5970503,779.3760622,0.0,0.0,0.0,424.32176832463665,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,4.777224074357496,2.377144409719733,1.7274261670523376
88,503.6051387,779.3760622,0.0,0.0,0.0,413.41567254282785,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,34.93820248248824,17.385232809719753,12.633521948861109
89,516.1118787,779.3760622,0.0,0.0,0.0,404.3272596335476,0.0,0.0,60.07235048604781,29.89197280971979,21.721934858141363,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
90,536.2694503,714.0545666,0.0,0.0,0.0,324.3576355884708,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,100.5819787334366,50.04954440971977,36.37006330321821
91,404.2328834,585.2046364,0.0,0.0,0.0,291.45619709062527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.3659018482203,404.2328834,293.74843930937476
92,418.7248531,585.2046364,0.0,0.0,0.0,280.92515506829346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.4896632203205,418.7248531,304.27948133170656
93,414.5842893,585.2046364,0.0,0.0,0.0,283.93402496497464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.1685864755109,414.5842893,301.2706114350254
94,372.7328846,396.6608949,0.0,0.0,0.0,125.80291271504234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0619847642203,372.7328846,270.8579821849577
95,367.506416,396.6608949,0.0,0.0,0.0,129.600889221645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.5586213515039,367.506416,267.060005678355
96,372.7328846,396.6608949,0.0,0.0,0.0,125.80291271504234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0619847642203,372.7328846,270.8579821849577
97,365.764259,396.6608949,0.0,0.0,0.0,130.86688197185754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0574986062131,365.764259,265.7940129281425
98,377.9593531,396.6608949,0.0,0.0,0.0,122.0049362811078,0.0,0.0,759.5653479759718,377.9593531,274.6559586188922,0.0,0.0,0.0,0.0,0.0
99,360.5377905,396.6608949,0.0,0.0,0.0,134.66485840579202,0.0,0.0,724.5541353944617,360.5377905,261.996036494208,0.0,0.0,0.0,0.0,0.0
100,362.279945,396.6608949,0.0,0.0,0.0,133.39886747228252,0.0,0.0,728.0552531156318,362.279945,263.2620274277175,0.0,0.0,0.0,0.0,0.0
101,346.6005395,396.6608949,0.0,0.0,0.0,144.79279677408616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.5451634803771,346.6005395,251.86809812591386
102,353.569165,396.6608949,0.0,0.0,0.0,139.7288275899391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.5496494374194,353.569165,256.9320673100609
103,352.4361953,396.6608949,0.0,0.0,0.0,140.55213537816394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708.2727788761582,352.4361953,256.1087595218361
104,348.135434,396.6608949,0.0,0.0,0.0,143.67741778738116,0.0,0.0,699.6297615077486,348.135434,252.98347711261886,0.0,0.0,0.0,0.0,0.0
105,312.5361524,396.6608949,0.0,0.0,0.0,169.54674668160476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.08772796785,312.5361524,227.11414821839526
106,300.9302561,396.6608949,0.0,0.0,0.0,177.98053340433884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.7639589186683,300.9302561,218.68036149566117
107,267.7250826,396.6608949,0.0,0.0,0.0,202.11010893659503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.033240503408,267.7250826,194.550785963405
108,253.5148143,396.6608949,0.0,0.0,0.0,212.43644384577644,0.0,0.0,509.4755998534473,253.5148143,184.22445105422358,0.0,0.0,0.0,0.0,0.0
109,249.9992176,396.6608949,0.0,0.0,0.0,214.9911618963718,0.0,0.0,502.4104871399324,249.9992176,181.6697330036282,0.0,0.0,0.0,0.0,0.0
110,287.3005279,396.6608949,0.0,0.0,0.0,187.8850007333839,0.0,0.0,577.3729996577347,287.3005279,208.77589416661613,0.0,0.0,0.0,0.0,0.0
111,308.5140356,396.6608949,0.0,0.0,0.0,172.4695433694509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0046880278815,308.5140356,224.19135153054913
112,328.5745047,396.6608949,0.0,0.0,0.0,157.89197748620256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.3191744072442,328.5745047,238.76891741379745
113,332.0588187,396.6608949,0.0,0.0,0.0,155.3599919857775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667.3214198978256,332.0588187,241.30090291422252
114,339.4851783,396.6608949,0.0,0.0,0.0,149.9633960337071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.2457903823847,339.4851783,246.6974988662929
