ratio,marius_milp,erdem_milp,marius_lower,erdem_lower,marius_upper,erdem_upper,marius_approx,erdem_approx
0.4899840749945356,106448.57607944644,106663.12261301707,105456.63676627108,105456.63676627105,109636.13403104804,109636.13403104807,108664.8142624991,108664.8142624991
0.54946840717991,114802.70251574673,114719.69237306798,113703.04988654652,113703.04988654649,117337.87080061293,117337.87080061296,116636.13365846817,116636.13365846817
0.6161741695221309,124588.94728658997,124006.82234859122,122950.58202765908,122950.58202765904,125974.6025869245,125974.60258692456,125575.17554809351,125575.17554809351
0.6909780475549228,135024.9114435922,135335.20157408365,133320.76958116025,133320.76958116022,135659.83829161068,135659.8382916107,135599.42196643207,135599.42196643207
0.774863156910807,146390.2972893552,146642.88055793996,144949.90352238633,144949.90352238627,146520.86685845797,146520.86685845803,146840.61733125045,146840.61733125045
0.8689319639927607,158547.7395983094,158716.12703486063,155917.84557555756,155917.84557555808,158700.4301779958,158700.43017799585,158644.67547847284,158644.67547847284
0.9744207752224144,167993.03694375575,167998.37032244087,166793.29321974062,166793.2932197412,171673.89273409458,171673.89273409458,166800.93906003342,166800.93906003342
1.0927159852908372,177404.989126609,177404.989126609,177404.989126609,177404.9891266093,181411.91034992144,181411.91034992144,175947.3774595867,175947.3774595867
1.2253722979557615,187838.7649496848,187838.7649496848,187838.7649496848,187838.76494968508,192332.1285805199,192332.12858051993,186204.19843652914,186204.19843652914
1.374133158853473,199539.20681086488,199539.20681086488,199539.20681086488,199539.2068108652,204578.06722105813,204578.06722105813,197706.20303737844,197706.20303737844
1.5409536688651293,212660.08865347476,212660.08865347476,212660.08865347476,212660.08865347513,218310.66944759886,218310.66944759886,210604.55722873693,210604.55722873693
1.7280262791781624,227373.8526608765,227373.8526608765,227373.8526608765,227373.85266087693,233710.41702498036,233710.4170249804,225068.77860745642,225068.77860745642
1.9378096057420653,243873.8755909244,243873.8755909244,243873.8755909244,243873.87559092487,250979.70230208017,250979.7023020802,241288.96429849396,241288.96429849396
2.173060741814714,262377.01024465065,262377.01024465065,262377.01024465065,262377.01024465123,270345.48816858884,270345.48816858884,259478.28932077377,259478.28932077377
2.436871493269328,283126.4354706271,283126.4354706271,283126.4354706271,283126.43547062774,292062.29093197733,292062.2909319774,279875.8082560192,279875.8082560192
2.732709012887326,306394.85216140037,306394.85216140037,306394.85216140037,306394.85216140107,316415.5253173449,316415.52531734493,302749.5970416984,302749.5970416984
3.064461367676344,332488.06724562566,332488.06724562566,332488.06724562566,332488.0672456264,343725.2555520593,343725.25555205933,328400.27617933555,328400.27617933555
3.436488638085367,361749.01277878816,361749.01277878816,361749.01277878816,361749.01277878904,374350.4018341073,374350.4018341073,357164.96166222135,357164.96166222135
3.8536802206922394,394562.2529537146,394562.2529537146,394562.2529537146,394562.2529537155,408693.45746797917,408693.4574679792,389421.6955478859,389421.6955478859
4.321519087468512,431359.03826460394,431359.03826460394,431359.03826460394,431359.038264605,447205.7786634079,447205.77866340795,425594.4144044732,425594.4144044732
4.846153846153845,472622.97324930946,472622.97324930946,472622.97324930946,472622.9732493107,490393.51651854016,490393.5165185402,466158.5209291955,466158.5209291955
