k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
36,489.3713909,791.3176496,0.0,14.900960485591526,0.0,601.3176496,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,568.534704370167,0.0,292.2723513855851,0.0,190.0
37,482.3716511,791.3176496,14.120581589467557,21.900700285589323,0.0,601.3176496,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,568.5347043701743,0.0,292.27235138558933,0.0,190.0,0.0
38,493.9611443,791.3176496,34.80389258512764,10.31120708559169,0.0,601.3176496,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,568.5347043701796,0.0,292.27235138559166,0.0,190.0,0.0
39,505.3895853,779.3760622,44.40150582539419,0.0,0.0,588.1809000248996,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,571.1032277079278,0.0,293.3895853,0.0,191.19516217510036
40,516.1118787,779.3760622,44.1800523912138,76.30804912109238,0.0,495.080098012159,1.0,1.0,1.0,-0.0,114.6125,114.6125,106.0,106.0,771.1861852468768,0.0,380.4199278210924,0.0,284.295964187841,0.0
41,528.6186163,779.3760622,116.27142018452523,153.38138370000004,0.0,399.25171997039456,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
42,531.5059581,714.0545666,261.04015416225485,150.49404189999998,0.0,333.9302243703946,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
43,402.1626028,585.2046364,402.35072237900727,0.0,190.16260280000003,585.2046364,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
44,402.1626028,585.2046364,200.6724238343156,0.0,190.1626028,585.2046364,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
45,398.0220389,585.2046364,0.0,177.0500520094696,0.0,319.4665393062347,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,731.3034683043388,0.0,363.0720909094695,0.0,265.7380970937653,0.0
46,370.9907276,396.6608949,167.77775548344255,0.0,158.99072759999999,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
47,377.9593531,396.6608949,0.0,283.4090396165451,0.0,38.60723663255453,1.0,1.0,1.0,0.0,114.6125,114.6125,106.0,106.0,929.6988645542016,0.0,449.36839271654503,0.0,358.0536582674455,0.0
48,381.4436671,396.6608949,268.56661159319384,300.5563329000001,0.0,16.5365526703946,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
49,386.6701356,396.6608949,552.0430132105938,0.0,174.67013559999998,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
50,384.9279786,396.6608949,365.8852796752502,0.0,172.92797860000002,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
51,384.9279786,396.6608949,182.48528419085488,0.0,172.92797860000002,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
52,381.4436671,396.6608949,0.0,188.69031248291668,0.0,136.20534768036464,1.0,1.0,0.0,1.0,114.6125,114.6125,106.0,106.0,0.0,719.9507390118642,0.0,358.1339795829166,0.0,260.4555472196354
53,381.4436671,396.6608949,178.80840333308626,0.0,169.44366710000003,396.6608949,1.0,1.0,0.0,0.0,114.6125,114.6125,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
