k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
126,451.1299199,396.6608949,0.0,0.0,0.0,396.6608949,0.0,558.4673432780392,0.0,451.1299199,0.0,0.0,0.0,0.0,0.0,0.0
127,446.512641,396.6608949,0.0,0.0,0.0,396.6608949,552.7514743748452,0.0,446.512641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,436.8855768,396.6608949,0.0,0.0,0.0,396.6608949,540.8338410497648,0.0,436.8855768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,401.3612252,396.6608949,0.0,0.0,0.0,396.6608949,496.8571740529834,0.0,401.3612252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,326.6620243,396.6608949,0.0,0.0,0.0,396.6608949,0.0,404.3847787818767,0.0,326.6620243,0.0,0.0,0.0,0.0,0.0,0.0
131,340.0834718,396.6608949,0.0,0.0,0.0,396.6608949,420.9995937113147,0.0,340.0834718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,311.7575129,396.6608949,0.0,0.0,0.0,396.6608949,385.93403429066603,0.0,311.7575129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,311.4263396,396.6608949,0.0,0.0,0.0,396.6608949,385.5240648675415,0.0,311.4263396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,323.8435229,396.6608949,0.0,0.0,0.0,396.6608949,0.0,400.8956708343649,0.0,323.8435229,0.0,0.0,0.0,0.0,0.0,0.0
135,356.797806,396.6608949,0.0,0.0,0.0,396.6608949,441.6907724684328,0.0,356.797806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,359.9333208,396.6608949,0.0,0.0,0.0,396.6608949,0.0,445.5723208715029,0.0,359.9333208,0.0,0.0,0.0,0.0,0.0,0.0
137,361.6754753,396.6608949,0.0,0.0,0.0,396.6608949,447.72898650656106,0.0,361.6754753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,355.1645864,396.6608949,0.0,0.0,0.0,396.6608949,439.6689606338203,0.0,355.1645864,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,366.3734463,396.6608949,0.0,0.0,0.0,396.6608949,453.54474659569206,0.0,366.3734463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,364.6312917,396.6608949,0.0,0.0,0.0,396.6608949,0.0,451.38808083684086,0.0,364.6312917,0.0,0.0,0.0,0.0,0.0,0.0
141,352.4361953,396.6608949,0.0,0.0,0.0,396.6608949,436.2914029462739,0.0,352.4361953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,442.0072746967071,0.0,357.0534765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,350.084851,396.6608949,0.0,0.0,0.0,396.6608949,433.38060287199806,0.0,350.084851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,339.6319139,396.6608949,0.0,0.0,0.0,396.6608949,0.0,420.4405965585541,0.0,339.6319139,0.0,0.0,0.0,0.0,0.0,0.0
145,339.6319139,396.6608949,0.0,0.0,0.0,396.6608949,420.4405965585541,0.0,339.6319139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,336.1475999,396.6608949,0.0,0.0,0.0,396.6608949,416.12725909878685,0.0,336.1475999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,308.2730979,396.6608949,0.0,0.0,0.0,396.6608949,0.0,381.6205717999505,0.0,308.2730979,0.0,0.0,0.0,0.0,0.0,0.0
148,315.2417234,396.6608949,0.0,0.0,0.0,396.6608949,0.0,390.2472436246596,0.0,315.2417234,0.0,0.0,0.0,0.0,0.0,0.0
149,316.9838804,396.6608949,0.0,0.0,0.0,396.6608949,392.4039123545432,0.0,316.9838804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,310.0152548,396.6608949,0.0,0.0,0.0,396.6608949,383.7772404060411,0.0,310.0152548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,323.6147762,587.1223702,0.0,0.0,0.0,587.1223702,400.6124983906908,0.0,323.6147762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,421.0917485,781.293796,0.0,0.0,0.0,781.293796,521.282184327804,0.0,421.0917485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,388.4932398,781.293796,0.0,0.0,0.0,781.293796,0.0,480.92750656103,0.0,388.4932398,0.0,0.0,0.0,0.0,0.0,0.0
154,366.8639963,791.3176496,0.0,0.0,0.0,791.3176496,454.15201324585297,0.0,366.8639963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,363.3020447,791.3176496,0.0,0.0,0.0,791.3176496,449.74256585788567,0.0,363.3020447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,371.3088048,791.3176496,0.0,0.0,0.0,791.3176496,459.65437583560293,0.0,371.3088048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,362.1603162,791.3176496,0.0,0.0,0.0,791.3176496,448.32918568952715,0.0,362.1603162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,368.678828,791.3176496,0.0,0.0,0.0,791.3176496,456.3986481802427,0.0,368.678828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,378.2613376,779.3760622,0.0,0.0,0.0,779.3760622,0.0,468.2611260212924,0.0,378.2613376,0.0,0.0,0.0,0.0,0.0,0.0
160,379.3416029,779.3760622,0.0,0.0,0.0,779.3760622,0.0,469.5984190393662,0.0,379.3416029,0.0,0.0,0.0,0.0,0.0,0.0
161,374.7201866,779.3760622,0.0,0.0,0.0,779.3760622,463.87742832384254,0.0,374.7201866,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,385.7629064,714.0545666,0.0,0.0,0.0,714.0545666,0.0,477.54754444169356,0.0,385.7629064,0.0,0.0,0.0,0.0,0.0,0.0
163,269.3108426,585.2046364,0.0,0.0,0.0,585.2046364,333.38802005446894,0.0,269.3108426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,273.1409495,585.2046364,0.0,0.0,0.0,585.2046364,338.12942498143104,0.0,273.1409495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,278.8861098,585.2046364,0.0,0.0,0.0,585.2046364,0.0,345.24153230997774,0.0,278.8861098,0.0,0.0,0.0,0.0,0.0,0.0
166,270.9037174,396.6608949,0.0,0.0,0.0,396.6608949,0.0,335.35988784352566,0.0,270.9037174,0.0,0.0,0.0,0.0,0.0,0.0
167,269.3167901,396.6608949,0.0,0.0,0.0,396.6608949,0.0,333.3953826442189,0.0,269.3167901,0.0,0.0,0.0,0.0,0.0,0.0
