k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
23,350.084851,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,293.0440184015625,114.6125,244.08485100000001,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
24,350.084851,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,293.0440184015625,114.6125,244.08485100000001,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
25,353.569165,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,297.54640539843746,114.6125,247.569165,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
26,355.3113195,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,299.79759566640627,106.00000000000001,249.31131950000002,0.0,0.0,0.0,0.0,0.0,0.0
27,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,302.0487891648437,114.6125,251.0534765,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
28,362.279945,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,308.8023664296875,114.6125,256.279945,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
29,364.022102,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,311.05355992812497,114.6125,258.022102,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
30,364.022102,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,311.05355992812497,114.6125,258.022102,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
31,398.210111,587.1223702,0.0,0.0,0.0,587.1223702,1.0,1.0,0.0,0.0,0.0,1.0,355.2308778078124,114.6125,292.210111,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
32,525.2319391,781.293796,0.0,0.0,0.0,781.293796,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,519.3668963057811,106.00000000000001,419.2319391,0.0,0.0,0.0,0.0,0.0,0.0
33,518.7740505,781.293796,0.0,0.0,0.0,781.293796,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,511.02209338046873,106.00000000000001,412.77405050000004,0.0,0.0,0.0,0.0,0.0,0.0
34,513.0255398,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,503.5939397103125,106.00000000000001,407.02553980000005,0.0,0.0,0.0,0.0,0.0,0.0
35,505.2914575,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,493.60005523828113,106.00000000000001,399.2914575,0.0,0.0,0.0,0.0,0.0,0.0
36,489.3713909,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,473.02834417859367,106.00000000000001,383.3713909,0.0,0.0,0.0,0.0,0.0,0.0
37,482.3716511,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,463.9833679057812,106.00000000000001,376.3716511,0.0,0.0,0.0,0.0,0.0,0.0
38,493.9611443,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,478.9591661501562,106.00000000000001,387.9611443,0.0,0.0,0.0,0.0,0.0,0.0
39,505.3895853,779.3760622,0.0,0.0,0.0,779.3760622,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,493.7268547548437,106.00000000000001,399.3895853,0.0,0.0,0.0,0.0,0.0,0.0
40,516.1118787,779.3760622,0.0,0.0,0.0,779.3760622,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,507.5820682576562,106.00000000000001,410.11187870000003,0.0,0.0,0.0,0.0,0.0,0.0
41,528.6186163,779.3760622,0.0,0.0,0.0,779.3760622,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,523.7431182501562,106.00000000000001,422.6186163,0.0,0.0,0.0,0.0,0.0,0.0
42,531.5059581,714.0545666,0.0,0.0,0.0,714.0545666,1.0,1.0,0.0,0.0,0.0,1.0,527.4741052323437,114.6125,425.50595810000004,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
43,402.1626028,585.2046364,0.0,0.0,0.0,585.2046364,1.0,1.0,0.0,0.0,0.0,1.0,360.33823830562494,114.6125,296.1626028,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
44,402.1626028,585.2046364,0.0,0.0,0.0,585.2046364,1.0,1.0,0.0,0.0,0.0,1.0,360.33823830562494,114.6125,296.1626028,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
45,398.0220389,585.2046364,0.0,0.0,0.0,585.2046364,1.0,1.0,0.0,0.0,0.0,1.0,354.98785339109367,114.6125,292.0220389,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
46,370.9907276,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,320.058330820625,114.6125,264.9907276,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
47,377.9593531,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,329.0631015839062,114.6125,271.9593531,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
48,381.4436671,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,333.5654885807812,106.00000000000001,275.4436671,0.0,0.0,0.0,0.0,0.0,0.0
