ratio,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx,time_milp,time_lp_lower,time_lp_upper,time_lp_approx
0.5810950191156552,119331.86341480931,118087.5003466109,121314.30659390567,120874.32236951467,1.126765500055626,0.8028712999075651,1.3758765999227762,0.29539770004339516
0.6270035926384541,125548.53352579294,124451.88318698212,127300.5942922912,127026.39450547012,1.0757507000816986,0.3411920000799,0.548861600109376,0.18641650001518428
0.6748910621810882,132261.63530833623,131090.6037143055,133544.9218292276,133443.65264328502,0.8439676000270993,0.5391629000660032,1.4994519000174478,0.4370561999967322
0.7250040449789279,139867.70062934782,138037.85089113185,140079.44706998975,140159.1452291546,0.9297084000427276,0.3083671999629587,0.6868729999987409,0.48869790008757263
0.7776232252656621,147016.42169080686,145332.53644534494,146940.77007522705,147210.4859269454,0.9880654999287799,0.37729610002133995,0.5648382001090795,0.1825306999962777
0.8330700630282494,154786.29206815702,152220.63615766686,154170.80789480158,154640.7526386012,1.1091310000047088,0.5044247000478208,0.5293379999930039,0.19175200001336634
0.8917150936456031,160821.62254379463,158266.68931378832,161595.7283267707,160406.23870489787,0.5759742999216542,0.47874319995753467,0.5592997000785545,0.18080790003295988
0.9539882831007782,166210.71552546183,164686.79021038156,166493.68218596178,165221.12420166502,0.5085472000064328,0.4366488999221474,0.7042095999931917,0.4476277999347076
1.0203920645407452,172780.74602163356,171532.73756733816,171716.51821562875,170355.38192931737,1.1832212000153959,0.505597100011073,0.5698993999976665,0.22320390003733337
1.091517908817082,177310.75718924438,177310.75718924467,177310.75718924467,175854.74367789074,0.397171700024046,0.45069740002509207,0.5421571000479162,0.19419579999521375
1.168067605518584,183331.5967457105,183331.5967457108,183331.5967457108,181773.470944868,0.3683085000375286,0.43852950003929436,0.5271167999599129,0.19211399997584522
1.2508809002880779,189845.08513866548,189845.0851386658,189845.0851386658,188176.49181811477,0.37394750001840293,0.4592344000702724,0.42843239998910576,0.3143402000423521
1.3409718252256073,196930.9787204209,196930.97872042123,196930.97872042123,195142.20999743306,0.39184419997036457,0.4441291999537498,0.41754699999000877,0.29531209997367114
1.4395770947581872,204686.5484072974,204686.54840729776,204686.54840729776,202766.24670297198,0.3710113000124693,0.4518769000424072,0.41340350010432303,0.2829675000393763
1.5482215215945574,213231.7248204284,213231.7248204288,213231.7248204288,211166.49855542538,0.37854219996370375,0.38991509994957596,0.42672220000531524,0.2958475999766961
1.6688078768808596,222716.16602871864,222716.16602871908,222716.16602871908,220490.08545141947,0.394577500061132,0.42184259998612106,0.41647100006230175,0.3125093999551609
1.803742564974572,233329.1422078666,233329.14220786703,233329.14220786703,230923.06758060475,0.3820203000213951,0.39931090001482517,0.39353379991371185,0.2790737999603152
1.9561149574743133,245313.64074419878,245313.64074419925,245313.64074419925,242704.31130962246,0.3800459000049159,0.3789610000094399,0.4383220999734476,0.2917411000235006
