gas_price_MWh,electricity_price_MWh,opex_milp,opex_lp_lower,opex_lp_upper,opex_lp_approx,time_milp,time_lp_lower,time_lp_upper,time_lp_approx
27.385872678354854,250.31668254626615,12875.2849948567,11815.917273165327,14712.224280575963,12255.129026086066,7.766098000109196,0.3536505000665784,0.5799141000024974,0.23612779995892197
291.13479109161335,259.44549803914515,46627.40350064136,46627.403500641434,46627.403500641434,46239.04872787002,0.5554888999322429,0.3237779999617487,0.7839266000082716,0.20560059999115765
125.86745782386149,353.4056538516662,30894.706915936033,30484.14611924479,32395.3572166617,31998.430752365326,1.6139441999839619,0.35292390000540763,0.7664213000098243,0.21504250005818903
51.04241370811036,321.4871112694209,18863.109929789705,17687.276060880504,21010.709456964618,18414.0993815196,6.496603599982336,0.367925199912861,0.6245940000517294,0.187153400038369
136.61608147318242,187.34772829496185,26332.555328362396,25970.35013780355,26346.3468939181,26364.124575012862,0.7656115000136197,0.3337577000493184,0.8046129000140354,0.1961278000380844
141.54285059891745,65.15864518936972,17092.131557850873,17092.13155785091,17092.13155785091,16903.3226512422,0.4452779999701306,0.4699070999631658,0.5299072000198066,0.1721831999020651
194.4684365443072,279.30799294164814,37993.693481024035,37441.7256762695,38078.10164899521,38071.36058303475,0.6900730999186635,0.4346683999756351,0.669335599988699,0.1888385999482125
72.92894664096673,370.0595552262138,23736.62980149025,22603.082080947413,26074.629809900456,23585.06768254961,2.9055312999989837,0.45159970002714545,0.5286297000711784,0.19218829995952547
105.79890980728577,143.19402686362488,20306.86339871166,20041.05537704367,20317.07089804951,20335.64295816232,0.5580952999880537,0.44794340000953525,0.6160869000013918,0.21216560003813356
299.3381868730926,166.32126518760987,38755.48612055748,38755.48612055755,38755.48612055755,38356.18855426865,0.47019210003782064,0.6219198999460787,0.5412267999490723,0.20847229997161776
208.72581366805554,193.85864968126023,34147.14669706511,34147.14669706515,34147.14669706515,33868.720111102506,0.3521676999516785,0.428882599924691,0.5238632999826223,0.19925760000478476
261.41468320457625,211.10221934702622,39868.363819246246,39868.36381924631,39868.36381924631,39519.65372687168,0.3616061999928206,0.4177944000111893,0.4279458000091836,0.30083530000410974
185.04458923590622,439.3532086799502,42415.71146471407,42141.66989346479,44081.7327532564,43691.00276331516,1.0419984000036493,0.4033338000299409,0.4115360000869259,0.31044230004772544
237.09528050273207,237.34211701890018,40558.368459668796,40187.52261482164,40355.47678343166,40039.20718391189,0.4215585000347346,0.39332300005480647,0.5094971000216901,0.28643790003843606
219.4639325250528,109.7615759846715,27300.21551793247,27300.215517932524,27300.215517932524,27007.464983625996,0.35436800005845726,0.4281251000938937,0.4723919000243768,0.29906909994315356
227.325677267264,403.16028426687814,47147.89686928125,46644.87248890808,48003.0213746795,47800.5439539552,0.7815654999576509,0.40128839993849397,0.42796080000698566,0.37915789999533445
57.369134532318135,173.40101234240348,14529.654244796358,14262.655728752416,15310.011043176219,14960.648790116444,1.5143103000009432,0.430622800020501,0.41916119994129986,0.32178820006083697
310.71501395494033,307.29645670541686,52843.097974281554,52417.80104552356,52543.88639082541,52129.41288118854,0.45034430001396686,0.48261049995198846,0.4097691000206396,0.3044586000032723
187.30467107125486,151.99592820913367,28633.55431799955,28633.5543179996,28633.5543179996,28383.702135441272,0.3478586000856012,0.4378193001030013,0.5568985000718385,0.3246632000664249
86.97959348754122,121.3081309673017,16842.119139330836,16610.73909130702,16866.384231968994,16872.55197161172,0.5558680000249296,0.41430369997397065,0.42581079993397,0.32407259999308735
41.64308670384213,91.5248801669077,9267.512949235406,9207.917691103903,9595.56275989414,9516.356847132953,1.0197719000279903,0.4389987000031397,0.4152368000941351,0.1659001000225544
165.7545098474991,327.88288120011975,35593.612011102625,35284.04817585614,36546.11852974023,36312.38230478513,0.972345000016503,0.4402818001108244,0.43217949999962,0.1828283000504598
175.40256801814527,99.00069828128726,22850.481475727032,22850.481475727076,22850.481475727076,22616.50592031235,0.47900539997499436,0.3887917000101879,0.4190758001059294,0.17629470000974834
289.6356902995497,426.96947613619545,56763.27251042564,56176.557271070174,57212.30522548446,57174.40301154941,1.003994199912995,0.43628590006846935,0.4251996000530198,0.1864988999441266
210.78956872912462,357.9947507201271,43040.03229398341,42657.4121827909,43789.85603427791,43642.31304200096,0.9129935000091791,0.339149700012058,0.5497735000681132,0.20041620009578764
40.421687067775366,409.52013317308825,20456.09124798917,18637.406215919662,23485.22392147541,19311.028529780095,7.656616099993698,0.3390155000379309,0.6150911001022905,0.1864100000821054
273.2923927474958,379.3510883552205,52842.359375594475,52123.772726334006,52912.57393560572,52936.528817844555,0.7343045000452548,0.3078437999356538,0.5428982999874279,0.210943799931556
