k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
92,418.7248531,585.2046364,0.0,0.0,0.0,585.2046364,1,1,0,0,0,1,114.6125,381.7397711151562,106.00000000000001,312.7248531,0.0,0.0,0.0,0.0,0.0,0.0
93,414.5842893,585.2046364,0.0,0.0,0.0,585.2046364,1,1,0,0,0,1,114.6125,376.3893863298437,106.00000000000001,308.5842893,0.0,0.0,0.0,0.0,0.0,0.0
94,372.7328846,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,322.3095243190624,106.00000000000001,266.7328846,0.0,0.0,0.0,0.0,0.0,0.0
95,367.506416,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,315.55594692499994,106.00000000000001,261.506416,0.0,0.0,0.0,0.0,0.0,0.0
96,372.7328846,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,322.3095243190624,106.00000000000001,266.7328846,0.0,0.0,0.0,0.0,0.0,0.0
97,365.764259,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,313.30475342656246,106.00000000000001,259.764259,0.0,0.0,0.0,0.0,0.0,0.0
98,377.9593531,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,329.0631015839062,114.6125,271.9593531,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
99,360.5377905,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,306.55117616171873,114.6125,254.53779050000003,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
100,362.279945,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,308.8023664296875,114.6125,256.279945,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
101,346.6005395,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,114.6125,288.54163463515624,106.00000000000001,240.60053950000002,0.0,0.0,0.0,0.0,0.0,0.0
102,353.569165,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,297.54640539843746,114.6125,247.569165,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
103,352.4361953,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,296.08239611421874,114.6125,246.4361953,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
104,348.135434,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,290.5250061218749,114.6125,242.13543399999998,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
105,312.5361524,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,244.52405942937494,114.6125,206.5361524,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
106,300.9302561,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,229.52706530421872,114.6125,194.9302561,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
107,267.7250826,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,186.6197551721875,114.6125,161.7250826,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
108,253.5148143,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,168.25742410328124,114.6125,147.5148143,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
109,249.9992176,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,163.71461399249998,114.6125,143.9992176,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
110,287.3005279,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,211.91490089578124,114.6125,181.30052790000002,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
111,308.5140356,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,239.32673037687496,114.6125,202.5140356,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
112,328.5745047,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,265.2486177920312,114.6125,222.57450469999998,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
113,332.0588187,396.6608949,0.0,0.0,0.0,396.6608949,1,1,0,0,0,1,269.75100478890624,114.6125,226.05881870000002,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
